City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,noumea,-22.2763,166.4572,24.44,99,96,4.47,NC,1683655952
245,quelimane,-17.8786,36.8883,23.97,78,20,1.54,MZ,1683656321
246,gizo,-8.103,156.8419,27.99,79,58,4.28,SB,1683656321
247,atafu village,-8.5421,-172.5159,29.07,77,32,6.32,TK,1683656304
248,waspan,14.7419,-83.9717,32.25,47,99,2.48,NI,1683656322
249,flying fish cove,-10.4217,105.6791,26.82,89,75,5.14,CX,1683656322
250,genlis,47.242,5.2242,16.12,82,75,3.09,FR,1683656322
251,magdagachi,53.45,125.8,-0.16,69,0,2.27,RU,1683656323
252,kismayo,-0.3582,42.5454,27.17,80,22,6.09,SO,1683656323
253,motueka,-41.1333,173.0167,16.17,94,90,0.98,NZ,1683656323
254,tual,-5.6667,132.75,27.24,83,100,6.4,ID,1683656323
255,hamilton,39.1834,-84.5333,23.84,50,0,6.17,US,1683655735
256,adrar,20.5022,-10.0711,37.66,14,99,5.13,MR,1683656324
257,anadyr,64.75,177.4833,-6.72,93,100,3.0,RU,1683656324
258,kone,-21.0595,164.8658,20.24,86,73,2.62,NC,1683656324
259,kerikeri,-35.2268,173.9474,16.62,97,26,2.24,NZ,1683656325
260,clarkston heights-vineland,46.3874,-117.083,11.69,82,100,2.57,US,1683656325
261,fiambala,-27.6871,-67.6149,22.41,25,0,0.5,AR,1683656325
262,loikaw,19.6742,97.2094,23.0,62,78,0.85,MM,1683656325
263,dryden,49.7833,-92.7503,16.16,59,100,3.6,CA,1683656117
264,soller,39.7662,2.7152,23.41,65,90,2.24,ES,1683656326
265,zarghun shahr,32.8473,68.4457,18.02,19,0,1.18,AF,1683656326
266,challakere,14.3167,76.65,25.14,75,99,1.59,IN,1683656326
267,khandyga,62.6667,135.6,-3.52,77,36,2.1,RU,1683656327
268,mapimi,25.8167,-103.85,29.68,6,23,1.37,MX,1683656327
269,kabo,7.6994,18.629,26.46,68,100,3.18,CF,1683656327
270,iskateley,67.6803,53.1512,-0.44,83,99,5.48,RU,1683656327
271,anna regina,7.2644,-58.5077,28.91,62,52,4.79,GY,1683656328
272,dongola,19.1667,30.4833,30.34,11,25,4.24,SD,1683656328
273,edd,13.9297,41.6925,29.53,72,43,3.07,ER,1683656328
274,matias romero,16.8833,-95.0333,38.41,30,54,2.49,MX,1683656328
275,chonchi,-42.6128,-73.8092,16.73,85,85,0.87,CL,1683656329
276,akrehamn,59.2667,5.1833,12.9,87,75,7.2,NO,1683656329
277,marco island,25.9363,-81.7157,33.36,57,37,3.83,US,1683656268
278,kpandu,6.9954,0.2931,27.22,75,91,1.57,GH,1683656329
279,port sudan,19.6175,37.2164,26.58,57,7,4.56,SD,1683656330
280,tralee,52.2704,-9.7026,11.43,93,67,6.13,IE,1683656330
281,senillosa,-39.0,-68.4167,20.88,23,27,1.15,AR,1683656206
282,yreka,41.7354,-122.6345,13.05,72,62,0.67,US,1683656330
283,kyshtovka,56.555,76.6271,4.01,46,4,2.63,RU,1683656330
284,jiangkou,25.4872,119.1986,15.65,70,6,3.53,CN,1683656331
285,nova sintra,14.8667,-24.7167,20.91,79,1,7.27,CV,1683656331
286,moramanga,-18.9333,48.2,16.21,99,43,0.98,MG,1683656331
287,garden city,42.3256,-83.331,21.76,30,0,5.66,US,1683656331
288,gatton,-27.55,152.2833,11.47,63,0,1.48,AU,1683656331
289,sola,-13.8833,167.55,27.42,73,34,5.44,VU,1683656332
290,nampula,-15.1165,39.2666,20.97,88,20,3.09,MZ,1683656332
291,al quwayrah,29.8004,35.3116,23.0,38,2,1.59,JO,1683656332
292,kavaratti,10.5669,72.642,29.49,56,48,2.76,IN,1683656332
293,mwinilunga,-11.7358,24.4293,16.94,51,66,2.15,ZM,1683656333
294,ancud,-41.8697,-73.8203,13.64,81,89,0.92,CL,1683656333
295,sinabang,2.4803,96.3801,26.81,79,76,1.25,ID,1683656333
296,rongelap,11.1635,166.8941,27.12,83,100,7.0,MH,1683656333
297,xinyuan,37.3,99.0,-1.92,88,100,1.09,CN,1683656334
298,enewetak,11.3474,162.3373,27.34,81,100,7.16,MH,1683656334
299,zuni pueblo,35.0725,-108.8506,21.35,11,0,5.66,US,1683656334
300,chardara,41.2547,67.9692,21.29,36,19,3.36,KZ,1683656334
301,old orchard beach,43.5173,-70.3775,17.71,40,75,6.17,US,1683656334
302,mahbubabad,17.6167,80.0167,28.45,62,82,3.85,IN,1683656335
303,thaba-tseka,-29.522,28.6084,8.38,63,22,1.62,LS,1683656335
304,kailua-kona,19.6406,-155.9956,24.17,88,54,0.89,US,1683656335
305,abu jibeha,11.4562,31.2285,33.92,10,99,2.97,SD,1683656335
306,baganga,7.5739,126.56,25.83,88,29,2.15,PH,1683656336
307,pariaman,-0.619,100.12,25.03,84,82,1.94,ID,1683656336
308,khanty-mansiysk,61.0042,69.0019,6.06,39,0,5.0,RU,1683656336
309,sanctuary point,-35.1114,150.629,9.43,77,2,2.64,AU,1683656336
310,port hedland,-20.3167,118.5667,21.03,24,4,6.69,AU,1683656336
311,al 'aziziyah,32.9058,45.0616,29.31,26,1,7.46,IQ,1683656337
312,gambela,8.25,34.5833,25.58,75,99,1.16,ET,1683656195
313,ondjiva,-17.0667,15.7333,23.72,24,10,3.05,AO,1683656337
314,rikaze,29.25,88.8833,6.74,35,1,2.12,CN,1683656337
315,mozarlandia,-14.7447,-50.5706,32.29,34,99,1.44,BR,1683656337
316,xilin hot,43.9667,116.0333,11.4,28,73,1.94,CN,1683656338
317,del rio,29.3627,-100.8968,32.29,46,20,6.69,US,1683656338
